Date,Close,Adj Close
17-10-1995,586.78,586.78
18-10-1995,587.44,587.44
19-10-1995,590.65,590.65
20-10-1995,587.46,587.46
23-10-1995,585.06,585.06
24-10-1995,586.54,586.54
25-10-1995,582.47,582.47
26-10-1995,576.72,576.72
27-10-1995,579.7,579.7
30-10-1995,583.25,583.25
31-10-1995,581.5,581.5
01-11-1995,584.22,584.22
02-11-1995,589.72,589.72
03-11-1995,590.57,590.57
06-11-1995,588.46,588.46
07-11-1995,586.32,586.32
08-11-1995,591.71,591.71
09-11-1995,593.26,593.26
10-11-1995,592.72,592.72
13-11-1995,592.3,592.3
14-11-1995,589.29,589.29
15-11-1995,593.96,593.96
16-11-1995,597.34,597.34
17-11-1995,600.07,600.07
20-11-1995,596.85,596.85
21-11-1995,600.24,600.24
22-11-1995,598.4,598.4
24-11-1995,599.97,599.97
27-11-1995,601.32,601.32
28-11-1995,606.45,606.45
29-11-1995,607.64,607.64
30-11-1995,605.37,605.37
01-12-1995,606.98,606.98
04-12-1995,613.68,613.68
05-12-1995,617.68,617.68
06-12-1995,620.18,620.18
07-12-1995,616.17,616.17
08-12-1995,617.48,617.48
11-12-1995,619.52,619.52
12-12-1995,618.78,618.78
13-12-1995,621.69,621.69
14-12-1995,616.92,616.92
15-12-1995,616.34,616.34
18-12-1995,606.81,606.81
19-12-1995,611.93,611.93
20-12-1995,605.94,605.94
21-12-1995,610.49,610.49
22-12-1995,611.95,611.95
26-12-1995,614.3,614.3
27-12-1995,614.53,614.53
28-12-1995,614.12,614.12
29-12-1995,615.93,615.93
02-01-1996,620.73,620.73
03-01-1996,621.32,621.32
04-01-1996,617.7,617.7
05-01-1996,616.71,616.71
08-01-1996,618.46,618.46
09-01-1996,609.45,609.45
10-01-1996,598.48,598.48
11-01-1996,602.69,602.69
12-01-1996,601.81,601.81
15-01-1996,599.82,599.82
16-01-1996,608.44,608.44
17-01-1996,606.37,606.37
18-01-1996,608.24,608.24
19-01-1996,611.83,611.83
22-01-1996,613.4,613.4
23-01-1996,612.79,612.79
24-01-1996,619.96,619.96
25-01-1996,617.03,617.03
26-01-1996,621.62,621.62
29-01-1996,624.22,624.22
30-01-1996,630.15,630.15
31-01-1996,636.02,636.02
01-02-1996,638.46,638.46
02-02-1996,635.84,635.84
05-02-1996,641.43,641.43
06-02-1996,646.33,646.33
07-02-1996,649.93,649.93
08-02-1996,656.07,656.07
09-02-1996,656.37,656.37
12-02-1996,661.45,661.45
13-02-1996,660.51,660.51
14-02-1996,655.58,655.58
15-02-1996,651.32,651.32
16-02-1996,647.98,647.98
20-02-1996,640.65,640.65
21-02-1996,648.1,648.1
22-02-1996,658.86,658.86
23-02-1996,659.08,659.08
26-02-1996,650.46,650.46
27-02-1996,647.24,647.24
28-02-1996,644.75,644.75
29-02-1996,640.43,640.43
01-03-1996,644.37,644.37
04-03-1996,650.81,650.81
05-03-1996,655.79,655.79
06-03-1996,652,652
07-03-1996,653.65,653.65
08-03-1996,633.5,633.5
11-03-1996,640.02,640.02
12-03-1996,637.09,637.09
13-03-1996,638.55,638.55
14-03-1996,640.87,640.87
15-03-1996,641.43,641.43
18-03-1996,652.65,652.65
19-03-1996,651.69,651.69
20-03-1996,649.98,649.98
21-03-1996,649.19,649.19
22-03-1996,650.62,650.62
25-03-1996,650.04,650.04
26-03-1996,652.97,652.97
27-03-1996,648.91,648.91
28-03-1996,648.94,648.94
29-03-1996,645.5,645.5
01-04-1996,653.73,653.73
02-04-1996,655.26,655.26
03-04-1996,655.88,655.88
04-04-1996,655.86,655.86
08-04-1996,644.24,644.24
09-04-1996,642.19,642.19
10-04-1996,633.5,633.5
